trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.3, 'e': 0.5699999999999996}",20,0,-63.414873539146456,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
88,False,"{'a': 0.3, 'e': 0.5649999999999996}",20,7,-2.4436311997378297,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.5599999999999996}",35,0,-98.50401880888944,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
90,False,"{'a': 0.3, 'e': 0.5549999999999996}",20,11,-17.765509922523105,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.5499999999999996}",30,0,-118.15442636706136,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",1
92,False,"{'a': 0.3, 'e': 0.5449999999999996}",25,0,-14.110140311841944,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.3, 'e': 0.5399999999999996}",35,0,-65.33304347412951,"{0: 26, 1: 3, 2: 4, 3: 2, 4: 0}",0
94,False,"{'a': 0.3, 'e': 0.5349999999999996}",25,0,-64.11159954030042,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.3, 'e': 0.5299999999999996}",20,9,-18.474087895803297,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.5249999999999996}",20,0,-95.14013635033746,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
97,False,"{'a': 0.3, 'e': 0.5199999999999996}",35,0,-61.42183545415403,"{0: 27, 1: 3, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.3, 'e': 0.5149999999999996}",20,9,-45.94280447781833,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.3, 'e': 0.5099999999999996}",20,0,-36.63297815066882,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
100,False,"{'a': 0.3, 'e': 0.5049999999999996}",25,8,-50.60460514668979,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.3, 'e': 0.49999999999999956}",20,10,5.356980698841572,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.49499999999999955}",20,12,-8.136083044914105,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.48999999999999955}",35,19,-16.75235690752667,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.48499999999999954}",20,7,-60.70277870232549,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
105,False,"{'a': 0.3, 'e': 0.47999999999999954}",20,0,14.035231505037604,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.3, 'e': 0.47499999999999953}",20,13,1.5227979786450188,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
